area,perimeter,length of kernel
19.254545454545454,14.61,6.675
10.59,16.37,4.899
18.291818181818183,12.41,4.899
10.59,17.25,6.675
21.18,12.41,4.899
18.291818181818183,12.85,6.675
21.18,12.41,6.675
10.59,17.25,6.675
21.18,17.25,6.675
21.18,17.25,6.675
10.59,17.25,4.899
10.59,17.25,4.899
21.18,17.25,6.675
15.403636363636362,12.41,6.675
10.59,12.41,4.899
21.18,12.41,6.675
21.18,12.41,4.899
10.59,12.41,6.675
18.291818181818183,17.25,4.899
10.59,14.61,4.899
17.329090909090908,17.25,6.675
10.59,17.25,6.675
21.18,17.25,4.899
21.18,12.41,4.899
20.21727272727273,17.25,6.675
21.18,12.41,6.675
10.59,12.41,4.899
10.59,17.25,4.899
21.18,17.25,4.899
21.18,12.41,6.675
21.18,12.41,6.675
21.18,17.25,4.899
21.18,12.41,4.899
10.59,12.41,4.899
21.18,17.25,6.675
21.18,17.25,4.899
12.515454545454546,17.25,6.675
10.59,12.41,4.899
10.59,14.61,4.899
13.478181818181818,13.73,6.675
10.59,12.41,4.899
10.59,13.290000000000001,4.899
17.329090909090908,12.41,6.675
10.59,12.41,6.675
10.59,17.25,6.675
10.59,17.25,6.675
15.403636363636362,15.05,4.899
21.18,17.25,4.899
10.59,14.17,4.899
21.18,12.41,6.675
21.18,15.05,6.675
10.59,13.290000000000001,4.899
21.18,15.49,4.899
12.515454545454546,12.41,6.675
10.59,15.93,4.899
21.18,17.25,4.899
21.18,17.25,6.675
19.254545454545454,13.290000000000001,6.675
21.18,13.73,6.675
21.18,17.25,4.899
17.329090909090908,12.41,6.675
21.18,17.25,4.899
10.59,12.41,6.675
10.59,17.25,6.675
10.59,12.41,6.675
10.59,12.41,6.675
21.18,17.25,6.675
21.18,15.93,6.675
10.59,12.41,4.899
10.59,12.41,6.675
21.18,17.25,5.544818181818182
21.18,12.41,4.899
10.59,17.25,6.675
21.18,12.41,5.706272727272728
21.18,12.41,6.675
21.18,17.25,6.675
21.18,17.25,4.899
21.18,17.25,6.675
21.18,12.41,6.675
21.18,12.41,6.675
10.59,12.41,6.675
21.18,17.25,4.899
21.18,17.25,4.899
21.18,17.25,6.675
21.18,15.49,4.899
10.59,12.41,6.675
10.59,12.41,4.899
13.478181818181818,16.37,6.675
21.18,17.25,4.899
21.18,14.61,4.899
19.254545454545454,17.25,4.899
12.515454545454546,14.61,4.899
10.59,12.41,6.675
10.59,14.17,4.899
21.18,17.25,4.899
21.18,12.41,4.899
16.366363636363637,12.41,4.899
10.59,17.25,6.675
21.18,17.25,6.675
10.59,12.41,4.899
12.515454545454546,12.41,6.675
13.478181818181818,17.25,6.675
19.254545454545454,16.37,6.675
21.18,17.25,6.675
10.59,17.25,6.675
10.59,17.25,4.899
21.18,12.41,6.675
21.18,17.25,6.675
10.59,12.85,6.675
21.18,17.25,4.899
21.18,12.41,6.675
10.59,15.05,4.899
21.18,17.25,6.675
11.552727272727273,15.93,4.899
12.515454545454546,12.41,6.675
12.515454545454546,17.25,6.675
10.59,17.25,4.899
19.254545454545454,16.37,4.899
21.18,17.25,5.706272727272728
18.291818181818183,17.25,6.675
21.18,17.25,4.899
21.18,17.25,6.675
21.18,17.25,4.899
14.440909090909091,15.05,6.675
10.59,17.25,4.899
21.18,12.41,4.899
10.59,16.37,5.544818181818182
10.59,12.41,6.675
17.329090909090908,15.93,4.899
10.59,17.25,6.675
21.18,12.41,6.675
21.18,12.41,4.899
21.18,12.41,6.352090909090909
10.59,17.25,4.899
10.59,12.41,4.899
10.59,17.25,6.675
10.59,17.25,4.899
12.515454545454546,14.17,4.899
10.59,13.290000000000001,4.899
10.59,14.61,6.675
14.440909090909091,14.17,4.899
21.18,16.810000000000002,4.899
21.18,12.41,4.899
15.403636363636362,12.41,4.899
10.59,12.41,6.675
19.254545454545454,13.73,4.899
10.59,12.41,4.899
20.21727272727273,17.25,6.675
21.18,17.25,6.675
10.59,12.41,6.675
13.478181818181818,12.41,6.675
21.18,12.41,4.899
21.18,12.41,6.675
18.291818181818183,17.25,4.899
21.18,17.25,6.675
10.59,13.290000000000001,4.899
10.59,12.41,6.675
10.59,12.41,6.675
12.515454545454546,14.61,4.899
10.59,17.25,4.899
16.366363636363637,12.41,6.675
10.59,17.25,6.675
15.403636363636362,12.41,4.899
21.18,12.41,4.899
10.59,12.41,6.675
10.59,12.41,6.675
10.59,12.41,6.675
21.18,12.41,4.899
10.59,17.25,6.675
21.18,17.25,6.675
10.59,12.41,4.899
21.18,17.25,4.899
18.291818181818183,12.41,6.675
19.254545454545454,17.25,4.899
21.18,12.41,6.675
10.59,17.25,4.899
10.59,12.41,4.899
10.59,12.41,4.899
14.440909090909091,16.37,6.675
21.18,17.25,6.675
10.59,12.41,6.675
10.59,17.25,6.675
21.18,12.41,6.675
10.59,12.41,6.675
21.18,12.41,6.675
21.18,17.25,5.0604545454545455
10.59,17.25,4.899
19.254545454545454,12.41,4.899
10.59,12.41,6.675
21.18,12.41,6.675
14.440909090909091,15.05,4.899
21.18,12.41,4.899
11.552727272727273,13.290000000000001,6.675
21.18,12.41,6.675
10.59,16.810000000000002,4.899
15.403636363636362,13.290000000000001,4.899
10.59,12.41,4.899
10.59,17.25,6.675
10.59,17.25,4.899
21.18,17.25,6.675
14.440909090909091,15.05,4.899
10.59,17.25,4.899
10.59,12.41,6.675
10.59,12.41,4.899
10.59,16.37,6.675
21.18,17.25,5.544818181818182
12.515454545454546,12.85,4.899
21.18,16.37,4.899
10.59,13.290000000000001,6.675
13.478181818181818,13.73,6.513545454545454
