area,perimeter,compactness,length of kernel,width of kernel,asymmetry coefficient,length of kernel groove
17.65,16.712222222222223,0.9183,5.885666666666666,3.4094444444444445,2.4741888888888885,5.196
18.826666666666668,14.023333333333333,0.8081,5.491,3.2535555555555558,0.7651,4.9703333333333335
16.473333333333333,14.561111111111112,0.9183,5.293666666666667,3.4094444444444445,2.4741888888888885,4.744666666666666
16.473333333333333,14.023333333333333,0.8693222222222222,5.293666666666667,3.4094444444444445,2.4741888888888885,4.744666666666666
20.003333333333334,14.561111111111112,0.8203444444444444,5.6883333333333335,3.5653333333333332,1.6196444444444444,5.196
17.65,14.561111111111112,0.8081,5.293666666666667,3.2535555555555558,2.4741888888888885,4.9703333333333335
17.65,13.485555555555555,0.8081,5.293666666666667,3.2535555555555558,3.3287333333333327,5.196
16.473333333333333,14.023333333333333,0.8938111111111111,5.491,3.2535555555555558,2.4741888888888885,4.9703333333333335
18.826666666666668,15.636666666666667,0.8693222222222222,6.083,3.4094444444444445,1.6196444444444444,5.872999999999999
18.826666666666668,15.636666666666667,0.8448333333333333,5.885666666666666,3.5653333333333332,1.6196444444444444,5.421666666666667
17.65,13.485555555555555,0.9183,5.6883333333333335,3.2535555555555558,4.183277777777778,5.421666666666667
15.296666666666667,14.023333333333333,0.9183,5.491,3.2535555555555558,1.6196444444444444,4.9703333333333335
17.65,16.174444444444443,0.8081,6.083,3.2535555555555558,4.183277777777778,4.744666666666666
18.826666666666668,15.636666666666667,0.9183,5.293666666666667,2.941777777777778,3.3287333333333327,4.9703333333333335
15.296666666666667,14.023333333333333,0.8693222222222222,5.491,3.0976666666666666,3.3287333333333327,4.744666666666666
16.473333333333333,14.561111111111112,0.8938111111111111,5.293666666666667,3.4094444444444445,4.183277777777778,4.744666666666666
16.473333333333333,14.023333333333333,0.9183,5.096333333333333,3.4094444444444445,5.037822222222222,4.744666666666666
17.65,13.485555555555555,0.8081,5.6883333333333335,3.5653333333333332,1.6196444444444444,4.9703333333333335
17.65,15.09888888888889,0.8938111111111111,5.293666666666667,3.4094444444444445,1.6196444444444444,4.744666666666666
14.120000000000001,12.947777777777778,0.9183,5.096333333333333,3.0976666666666666,4.183277777777778,4.9703333333333335
16.473333333333333,14.561111111111112,0.8570777777777778,5.6883333333333335,3.0976666666666666,3.3287333333333327,5.196
15.296666666666667,14.023333333333333,0.9183,5.491,3.0976666666666666,2.4741888888888885,5.196
18.826666666666668,14.023333333333333,0.9183,5.491,3.5653333333333332,0.7651,5.196
12.943333333333333,12.41,0.8203444444444444,5.096333333333333,2.941777777777778,1.6196444444444444,4.9703333333333335
18.826666666666668,15.636666666666667,0.9183,5.491,3.0976666666666666,1.6196444444444444,4.9703333333333335
18.826666666666668,12.947777777777778,0.9183,6.083,3.4094444444444445,0.7651,5.196
16.473333333333333,12.41,0.8081,5.293666666666667,3.0976666666666666,3.3287333333333327,4.744666666666666
14.120000000000001,12.947777777777778,0.8081,5.491,2.941777777777778,2.4741888888888885,4.9703333333333335
15.296666666666667,14.023333333333333,0.9060555555555556,5.491,3.2535555555555558,2.4741888888888885,4.9703333333333335
16.473333333333333,14.561111111111112,0.9183,5.6883333333333335,3.0976666666666666,3.3287333333333327,5.196
15.296666666666667,13.485555555555555,0.8570777777777778,5.491,2.941777777777778,0.7651,4.9703333333333335
17.65,14.023333333333333,0.9183,5.6883333333333335,3.4094444444444445,3.3287333333333327,5.196
15.296666666666667,14.561111111111112,0.8325888888888889,5.6883333333333335,3.2535555555555558,4.183277777777778,5.196
15.296666666666667,15.09888888888889,0.8081,5.6883333333333335,3.0976666666666666,2.4741888888888885,4.9703333333333335
17.65,12.947777777777778,0.8081,5.885666666666666,3.2535555555555558,2.4741888888888885,5.421666666666667
