baseline value,histogram_min
120.009271527486,62.037279478802084
131.9358488508997,68.34248253876545
133.33292936267063,67.69778142420395
134.06634352871615,53.01186978544417
131.99454611815577,53.0138291909296
134.1811936952524,49.841844517484
133.8293091148493,49.99886379803086
121.8756911270219,62.00386323988004
121.95921736959176,62.21287111698335
122.00814225697827,61.9885674329183
151.0548576079069,56.126751351106556
150.06945291211306,56.07254832207818
131.12057237736872,88.11730577155075
131.07106211404619,70.87951118733704
129.96532253361949,67.31412403447928
129.88507532699654,67.05571490191629
130.04415383126957,52.351727028625454
131.10606267507262,66.91190821091774
129.8405725620303,58.886218022285355
130.06627457559074,65.06573108500847
129.1229425734647,54.089615620515026
128.032011249365,56.89931492588669
127.96187119342852,53.99001670074004
128.0379349058115,113.97184978597744
127.97339747936226,113.9680191705469
123.96448360863822,117.96976499721124
124.0167268700336,122.04336531534237
124.12452805196352,117.6054921937003
131.92779370528928,50.34870639734848
131.83534668941263,50.03449127752647
131.80368613507719,49.55241670752
131.980073320765,49.98152783483253
131.78071914209838,49.86565577406018
120.01736512367623,55.18403956892122
119.85103164986802,53.088195169907806
120.22213976909003,51.143484848638224
115.11352758584,52.00906456097592
114.13981245695844,51.92983247000269
114.70033419152499,49.93268465310701
114.87056256174215,52.88817083295381
114.03481294783197,55.39499372928136
114.00013205915667,54.0108080821329
115.65793691204986,54.92291087011471
115.99376372494001,52.02226731658856
121.72929774517621,49.543728774527345
122.01974380233243,49.86585833343802
121.92213832828291,52.83738879264202
122.05384356432835,49.99248038446698
122.1401530832713,49.87288042075754
158.1137502668369,76.90843147935021
158.0740559129137,141.93713876876203
155.9461034459407,49.83902772791855
156.0146615168955,49.98463039611578
150.07378888473397,130.08126241509424
148.0167411546712,136.1686262318818
148.8924445635494,58.067154942583365
148.75794894651543,58.11683182567693
145.87796683753905,148.01265586077253
148.16299928177136,142.891984926505
143.786979432449,78.17555821670895
146.04986358201333,133.7173306720054
145.97975282897065,142.8440356337368
141.8161705721644,130.02348447407095
135.8242816362063,73.66301491465572
141.0223937913716,73.9590219502979
149.61505172289546,142.5270060163139
138.0594794015166,81.12070154728183
140.07985393239392,119.08771515514108
139.78238863261925,119.16166683410853
144.0006822202673,131.84999855139196
144.2729168690382,138.2150299632479
139.82266853715487,67.86390263897127
140.2581815741314,68.01996317041078
140.0063460615534,67.96752762691345
140.03021657211823,67.92066355995094
153.94776223580703,74.08665118878213
149.81703131110586,138.04462839981278
145.05439075501354,56.97886336639465
145.05875198779566,56.9695331058379
145.05771743261775,56.258423559845916
144.92025120104353,57.13679027416125
144.99693954510803,56.11996808047597
145.31778065761597,59.861311403418796
145.04342227390146,62.94265236950794
144.97563832435682,62.032923506865174
144.9400628820738,72.72828496808405
145.06326755131334,50.374248916407
139.0409562182388,52.90643519154897
138.73290622779115,72.90274921070318
138.97469912025457,52.24657333778839
139.409572013067,135.1937784148085
148.17009624903972,139.0918052517888
147.93500114676664,135.8271141232198
148.02344726318194,127.9710950462359
147.92884543496749,136.0622012858231
148.5537902162898,135.08842732669913
147.35764334737348,120.67308136873153
147.7550751562002,78.0152940498194
147.7727021557534,130.03624872480168
124.95378302581177,100.82391585130533
125.04069799157027,72.15370067063871
124.86937750350641,96.92326520273613
125.05537996880784,67.79462121175669
125.11154019550838,117.03471642132983
125.03192972102521,68.01138508015252
124.92320977976213,56.01715296212312
125.12265818135259,51.859558132479236
125.03801900261682,73.0595988613143
124.68550632067328,62.66479079841565
124.87753454952124,79.92596858607739
124.91010062580037,77.98797030955126
129.02345723329964,78.09502798461175
129.18458599121172,100.67377863884872
129.0274872015991,110.99266476508463
128.86668450447098,49.90091903505749
129.16918195570364,50.01353835887022
123.13243104676017,50.015215134024615
122.76881432731074,94.73547561558792
122.97697558492884,92.03291989455849
122.75846401203793,91.78310056680688
122.91336580188985,58.80330264242036
123.43230146503069,74.57886600057888
122.86716628657803,58.96821665261285
122.76544136570837,60.98191815858699
122.93690498336656,61.32920121599467
159.13841904439374,81.10394770078062
158.97159473684323,152.93006581117905
158.98817424487714,81.51428171977483
158.91605130282076,153.3522407307708
157.83703411045371,76.98881413638405
157.9662259690216,155.81865944600946
157.83062209402883,76.85007916074196
158.07838173737426,159.0693387047733
158.96974394556815,132.92611881814867
159.1027622851217,132.77853854812452
159.22473506400925,148.90938911050037
159.20169320367185,133.1462141501001
158.94394520469626,146.9199177836883
159.31127992591357,148.01237408353364
159.11232618247053,145.82935908349583
159.28210692268112,154.97367829175815
153.98678493857815,50.12368536048671
153.9308045763523,93.18662790922045
153.82895640190918,49.900785236447284
143.09673467583818,56.950061582297856
142.98395027587497,72.15180089908993
143.1680028790139,71.81131254237657
148.77993727732516,71.08949360299457
149.06378541649306,77.02876956761207
148.05895650065398,115.11071465921043
